Question,Intent,Answer,SearchText,Source,Topic,Semester
When is deadline for lateral transfer/double major/minor/special student applications in the spring semester?,Academic Calendar | DEADLINE FOR LATERAL TRANSFER/DOUBLE MAJOR/MINOR/SPECIAL STUDENT APPLICATIONS | Spring Semester,"Deadline For Lateral Transfer/Double Major/Minor/Special Student Applications for the Spring Semester is scheduled for 2 February 2026, Monday. Additional details: BEYKOZ-PROF EXAM FOR THE STUDENTS APPLYING FOR LATERAL TRANSFER/DOUBLE MAJOR/MINOR","deadline for lateral transfer/double major/minor/special student applications spring semester academic calendar date deadline schedule 2 February 2026, Monday",calendar,DEADLINE FOR LATERAL TRANSFER/DOUBLE MAJOR/MINOR/SPECIAL STUDENT APPLICATIONS,Spring Semester
When is programs in the spring semester in the spring semester?,Academic Calendar | PROGRAMS IN THE SPRING SEMESTER | Spring Semester,"Programs In The Spring Semester for the Spring Semester is scheduled for 5 February 2026, Thursday.","programs in the spring semester spring semester academic calendar date deadline schedule 5 February 2026, Thursday",calendar,PROGRAMS IN THE SPRING SEMESTER,Spring Semester
When is announcement of lateral transfer application results in the spring semester?,Academic Calendar | ANNOUNCEMENT OF LATERAL TRANSFER APPLICATION RESULTS | Spring Semester,"Announcement Of Lateral Transfer Application Results for the Spring Semester is scheduled for 6 February 2026, Friday.","announcement of lateral transfer application results spring semester academic calendar date deadline schedule 6 February 2026, Friday",calendar,ANNOUNCEMENT OF LATERAL TRANSFER APPLICATION RESULTS,Spring Semester
When is announcement of double major/minor application results in the spring semester?,Academic Calendar | ANNOUNCEMENT OF DOUBLE MAJOR/MINOR APPLICATION RESULTS | Spring Semester,"Announcement Of Double Major/Minor Application Results for the Spring Semester is scheduled for 10 February 2026, Tuesday.","announcement of double major/minor application results spring semester academic calendar date deadline schedule 10 February 2026, Tuesday",calendar,ANNOUNCEMENT OF DOUBLE MAJOR/MINOR APPLICATION RESULTS,Spring Semester
When is course registrations in the spring semester?,Academic Calendar | COURSE REGISTRATIONS | Spring Semester,Course Registrations for the Spring Semester is scheduled for 3 - 8 February 2026 Tuesday - Sunday.,course registrations spring semester academic calendar date deadline schedule 3 - 8 February 2026 Tuesday - Sunday,calendar,COURSE REGISTRATIONS,Spring Semester
When is lateral transfer student registrations in the spring semester?,Academic Calendar | LATERAL TRANSFER STUDENT REGISTRATIONS | Spring Semester,Lateral Transfer Student Registrations for the Spring Semester is scheduled for 9- 11 February 2026 Monday - Wednesday(Acceptance List). Additional details: 12-13 February 2026 Thursday - Friday (Waiting List),lateral transfer student registrations spring semester academic calendar date deadline schedule 9- 11 February 2026 Monday - Wednesday(Acceptance List),calendar,LATERAL TRANSFER STUDENT REGISTRATIONS,Spring Semester
When is double major/minor/special student registrations in the spring semester?,Academic Calendar | DOUBLE MAJOR/MINOR/SPECIAL STUDENT REGISTRATIONS | Spring Semester,Double Major/Minor/Special Student Registrations for the Spring Semester is scheduled for 11-13 February 2026 Wednesday - Friday.,double major/minor/special student registrations spring semester academic calendar date deadline schedule 11-13 February 2026 Wednesday - Friday,calendar,DOUBLE MAJOR/MINOR/SPECIAL STUDENT REGISTRATIONS,Spring Semester
When is first day of classes (undergraduate-associate degree/preparatory programs) in the spring semester?,Academic Calendar | FIRST DAY OF CLASSES (Undergraduate-Associate Degree/Preparatory Programs) | Spring Semester,"First Day Of Classes (Undergraduate-Associate Degree/Preparatory Programs) for the Spring Semester is scheduled for 9 February 2026, Monday.","first day of classes (undergraduate-associate degree/preparatory programs) spring semester academic calendar date deadline schedule 9 February 2026, Monday",calendar,FIRST DAY OF CLASSES (Undergraduate-Associate Degree/Preparatory Programs),Spring Semester
When is course add/drop in the spring semester?,Academic Calendar | COURSE ADD/DROP | Spring Semester,"Course Add/Drop for the Spring Semester is scheduled for 9-14 February 2026 Tuesday - Saturday. Additional details: Deadline for announcing the goal, content, learning outcomes, weekly lesson plans, learning and",course add/drop spring semester academic calendar date deadline schedule 9-14 February 2026 Tuesday - Saturday,calendar,COURSE ADD/DROP,Spring Semester
When is last day for applications to freeze registration for the spring semester in the spring semester?,Academic Calendar | LAST DAY FOR APPLICATIONS TO FREEZE REGISTRATION for the SPRING SEMESTER | Spring Semester,"Last Day For Applications To Freeze Registration For The Spring Semester for the Spring Semester is scheduled for 27 March 2026, Friday.","last day for applications to freeze registration for the spring semester spring semester academic calendar date deadline schedule 27 March 2026, Friday",calendar,LAST DAY FOR APPLICATIONS TO FREEZE REGISTRATION for the SPRING SEMESTER,Spring Semester
When is midterms in the spring semester?,Academic Calendar | MIDTERMS | Spring Semester,Midterms for the Spring Semester is scheduled for 28 March - 5 April 2026 Saturday - Sunday.,midterms spring semester academic calendar date deadline schedule 28 March - 5 April 2026 Saturday - Sunday,calendar,MIDTERMS,Spring Semester
When is last day for withdrawal from courses in the spring semester?,Academic Calendar | LAST DAY FOR WITHDRAWAL FROM COURSES | Spring Semester,"Last Day For Withdrawal From Courses for the Spring Semester is scheduled for 27 March 2026, Friday.","last day for withdrawal from courses spring semester academic calendar date deadline schedule 27 March 2026, Friday",calendar,LAST DAY FOR WITHDRAWAL FROM COURSES,Spring Semester
When is deadline for midterm make-up exam applications in the spring semester?,Academic Calendar | DEADLINE FOR MIDTERM MAKE-UP EXAM APPLICATIONS | Spring Semester,"Deadline For Midterm Make-Up Exam Applications for the Spring Semester is scheduled for 8 April 2026, Wednesday.","deadline for midterm make-up exam applications spring semester academic calendar date deadline schedule 8 April 2026, Wednesday",calendar,DEADLINE FOR MIDTERM MAKE-UP EXAM APPLICATIONS,Spring Semester
When is deadline for entering the midterm grades into ois in the spring semester?,Academic Calendar | DEADLINE FOR ENTERING THE MIDTERM GRADES INTO OIS | Spring Semester,"Deadline For Entering The Midterm Grades Into Ois for the Spring Semester is scheduled for 14 April 2026, Tuesday.","deadline for entering the midterm grades into ois spring semester academic calendar date deadline schedule 14 April 2026, Tuesday",calendar,DEADLINE FOR ENTERING THE MIDTERM GRADES INTO OIS,Spring Semester
When is make-up exams for the midterms in the spring semester?,Academic Calendar | MAKE-UP EXAMS FOR THE MIDTERMS | Spring Semester,Make-Up Exams For The Midterms for the Spring Semester is scheduled for 13 - 15 April 2026 Monday - Wednesday.,make-up exams for the midterms spring semester academic calendar date deadline schedule 13 - 15 April 2026 Monday - Wednesday,calendar,MAKE-UP EXAMS FOR THE MIDTERMS,Spring Semester
When is deadline for announcing the grades of the midterm make-up exams in the spring semester?,Academic Calendar | DEADLINE FOR ANNOUNCING THE GRADES OF THE MIDTERM MAKE-UP EXAMS | Spring Semester,"Deadline For Announcing The Grades Of The Midterm Make-Up Exams for the Spring Semester is scheduled for 20 April 2026, Monday. Additional details: MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY","deadline for announcing the grades of the midterm make-up exams spring semester academic calendar date deadline schedule 20 April 2026, Monday",calendar,DEADLINE FOR ANNOUNCING THE GRADES OF THE MIDTERM MAKE-UP EXAMS,Spring Semester
When is on 19 march 2025 thursday in the spring semester?,Academic Calendar | ON 19 MARCH 2025 THURSDAY | Spring Semester,"On 19 March 2025 Thursday for the Spring Semester is scheduled for 26 May 2026, Saturday. Additional details: MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY","on 19 march 2025 thursday spring semester academic calendar date deadline schedule 26 May 2026, Saturday",calendar,ON 19 MARCH 2025 THURSDAY,Spring Semester
When is on 20 march 2026 friday in the spring semester?,Academic Calendar | ON 20 MARCH 2026 FRIDAY | Spring Semester,"On 20 March 2026 Friday for the Spring Semester is scheduled for 20 May 2026, Wednesday. Additional details: MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY","on 20 march 2026 friday spring semester academic calendar date deadline schedule 20 May 2026, Wednesday",calendar,ON 20 MARCH 2026 FRIDAY,Spring Semester
When is on 21 march 2026 saturday in the spring semester?,Academic Calendar | ON 21 MARCH 2026 SATURDAY | Spring Semester,"On 21 March 2026 Saturday for the Spring Semester is scheduled for 17 May 2026, Sunday.","on 21 march 2026 saturday spring semester academic calendar date deadline schedule 17 May 2026, Sunday",calendar,ON 21 MARCH 2026 SATURDAY,Spring Semester
When is make-up classes for the ones that could not be conducted due to 01 may labour day in the spring semester?,Academic Calendar | MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO 01 MAY LABOUR DAY | Spring Semester,"Make-Up Classes For The Ones That Could Not Be Conducted Due To 01 May Labour Day for the Spring Semester is scheduled for 18 May 2026, Monday. Additional details: MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO 23 APRIL NATIONAL","make-up classes for the ones that could not be conducted due to 01 may labour day spring semester academic calendar date deadline schedule 18 May 2026, Monday",calendar,MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO 01 MAY LABOUR DAY,Spring Semester
When is sovereignty and children's day in the spring semester?,Academic Calendar | SOVEREIGNTY AND CHILDREN'S DAY | Spring Semester,"Sovereignty And Children'S Day for the Spring Semester is scheduled for 21 May 2026, Thursday.","sovereignty and children's day spring semester academic calendar date deadline schedule 21 May 2026, Thursday",calendar,SOVEREIGNTY AND CHILDREN'S DAY,Spring Semester
When is last day of classes in the spring semester?,Academic Calendar | LAST DAY OF CLASSES | Spring Semester,"Last Day Of Classes for the Spring Semester is scheduled for 15 May 2026, Friday.","last day of classes spring semester academic calendar date deadline schedule 15 May 2026, Friday",calendar,LAST DAY OF CLASSES,Spring Semester
When is deadline for entering the grades for the semester exams into the system in the spring semester?,Academic Calendar | DEADLINE FOR ENTERING THE GRADES FOR THE SEMESTER EXAMS INTO THE SYSTEM | Spring Semester,"Deadline For Entering The Grades For The Semester Exams Into The System for the Spring Semester is scheduled for 22 May 2026, Friday. Additional details: ANNOUNCEMENT OF THE LIST OF STUDENTS THAT HAVE FAILED IN THE SPRING SEMESTER DUE TO","deadline for entering the grades for the semester exams into the system spring semester academic calendar date deadline schedule 22 May 2026, Friday",calendar,DEADLINE FOR ENTERING THE GRADES FOR THE SEMESTER EXAMS INTO THE SYSTEM,Spring Semester
When is final exams in the spring semester?,Academic Calendar | FINAL EXAMS | Spring Semester,Final Exams for the Spring Semester is scheduled for 1 - 10 June 2026 Monday-Wednesday.,final exams spring semester academic calendar date deadline schedule 1 - 10 June 2026 Monday-Wednesday,calendar,FINAL EXAMS,Spring Semester
When is application dates for graduation single course exams in the spring semester?,Academic Calendar | APPLICATION DATES FOR GRADUATION SINGLE COURSE EXAMS | Spring Semester,"Application Dates For Graduation Single Course Exams for the Spring Semester is scheduled for 29 June 2026, Monday.","application dates for graduation single course exams spring semester academic calendar date deadline schedule 29 June 2026, Monday",calendar,APPLICATION DATES FOR GRADUATION SINGLE COURSE EXAMS,Spring Semester
When is deadline for entering the final exam grades into ois for the spring semester in the spring semester?,Academic Calendar | DEADLINE FOR ENTERING THE FINAL EXAM GRADES INTO OIS FOR THE SPRING SEMESTER | Spring Semester,"Deadline For Entering The Final Exam Grades Into Ois For The Spring Semester for the Spring Semester is scheduled for 14 June 2026, Sunday.","deadline for entering the final exam grades into ois for the spring semester spring semester academic calendar date deadline schedule 14 June 2026, Sunday",calendar,DEADLINE FOR ENTERING THE FINAL EXAM GRADES INTO OIS FOR THE SPRING SEMESTER,Spring Semester
When is retake exams in the spring semester?,Academic Calendar | RETAKE EXAMS | Spring Semester,Retake Exams for the Spring Semester is scheduled for 18-24 June 2026 Thursday-Wednesday.,retake exams spring semester academic calendar date deadline schedule 18-24 June 2026 Thursday-Wednesday,calendar,RETAKE EXAMS,Spring Semester
When is 2nd additional exam applications within the scope of the law no 2547 article 44 c in the spring semester?,Academic Calendar | 2ND ADDITIONAL EXAM APPLICATIONS WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Spring Semester,2Nd Additional Exam Applications Within The Scope Of The Law No 2547 Article 44 C for the Spring Semester is scheduled for 16-20 February 2026 Monday-Friday.,2nd additional exam applications within the scope of the law no 2547 article 44 c spring semester academic calendar date deadline schedule 16-20 February 2026 Monday-Friday,calendar,2ND ADDITIONAL EXAM APPLICATIONS WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Spring Semester
When is single course exam for graduation in the spring semester?,Academic Calendar | SINGLE COURSE EXAM FOR GRADUATION | Spring Semester,"Single Course Exam For Graduation for the Spring Semester is scheduled for 17 February 2026, Tuesday.","single course exam for graduation spring semester academic calendar date deadline schedule 17 February 2026, Tuesday",calendar,SINGLE COURSE EXAM FOR GRADUATION,Spring Semester
When is deadline for announcing the grades from single course exams for graduation in the spring semester?,Academic Calendar | DEADLINE FOR ANNOUNCING THE GRADES FROM SINGLE COURSE EXAMS FOR GRADUATION | Spring Semester,"Deadline For Announcing The Grades From Single Course Exams For Graduation for the Spring Semester is scheduled for 23 February 2026, Monday.","deadline for announcing the grades from single course exams for graduation spring semester academic calendar date deadline schedule 23 February 2026, Monday",calendar,DEADLINE FOR ANNOUNCING THE GRADES FROM SINGLE COURSE EXAMS FOR GRADUATION,Spring Semester
When is applications for the exams to increase graduation grade average in the spring semester?,Academic Calendar | APPLICATIONS FOR THE EXAMS TO INCREASE GRADUATION GRADE AVERAGE | Spring Semester,"Applications For The Exams To Increase Graduation Grade Average for the Spring Semester is scheduled for 13 February 2026, Friday.","applications for the exams to increase graduation grade average spring semester academic calendar date deadline schedule 13 February 2026, Friday",calendar,APPLICATIONS FOR THE EXAMS TO INCREASE GRADUATION GRADE AVERAGE,Spring Semester
When is 2nd additional exam dates within the scope of the law no 2547 article 44 c in the spring semester?,Academic Calendar | 2ND ADDITIONAL EXAM DATES WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Spring Semester,2Nd Additional Exam Dates Within The Scope Of The Law No 2547 Article 44 C for the Spring Semester is scheduled for 24-26 February 2026 Tuesday-Thursday.,2nd additional exam dates within the scope of the law no 2547 article 44 c spring semester academic calendar date deadline schedule 24-26 February 2026 Tuesday-Thursday,calendar,2ND ADDITIONAL EXAM DATES WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Spring Semester
When is graduation grade average increase exam in the spring semester?,Academic Calendar | GRADUATION GRADE AVERAGE INCREASE EXAM | Spring Semester,"Graduation Grade Average Increase Exam for the Spring Semester is scheduled for 18 February 2026, Wednesday. Additional details: DEADLINE FOR ANNOUNCING THE GRADES FROM THE 2ND ADDITIONAL EXAM GIVEN WITHIN","graduation grade average increase exam spring semester academic calendar date deadline schedule 18 February 2026, Wednesday",calendar,GRADUATION GRADE AVERAGE INCREASE EXAM,Spring Semester
When is the scope of the law no 2547 article 44 c in the spring semester?,Academic Calendar | THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Spring Semester,"The Scope Of The Law No 2547 Article 44 C for the Spring Semester is scheduled for 2 March 2026, Monday. Additional details: DEADLINE FOR ANNOUNCING THE GRADES FROM THE EXAMS TO INCREASE GRADUATION","the scope of the law no 2547 article 44 c spring semester academic calendar date deadline schedule 2 March 2026, Monday",calendar,THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Spring Semester
When is grade average in the spring semester?,Academic Calendar | GRADE AVERAGE | Spring Semester,"Grade Average for the Spring Semester is scheduled for 20 February 2026, Friday.","grade average spring semester academic calendar date deadline schedule 20 February 2026, Friday",calendar,GRADE AVERAGE,Spring Semester
When is application dates for exemption from university's general english courses in the spring semester?,Academic Calendar | APPLICATION DATES FOR EXEMPTION FROM UNIVERSITY'S GENERAL ENGLISH COURSES | Spring Semester,Application Dates For Exemption From University'S General English Courses for the Spring Semester is scheduled for 20-28 January 2026 Tuesday-Wednesday. Additional details: LAST DAY OF APPLICATIONS FOR EXEMPTION FROM THE COURSES TAKEN FROM OTHER HIGHER,application dates for exemption from university's general english courses spring semester academic calendar date deadline schedule 20-28 January 2026 Tuesday-Wednesday,calendar,APPLICATION DATES FOR EXEMPTION FROM UNIVERSITY'S GENERAL ENGLISH COURSES,Spring Semester
When is exam date for exemption from university's general english courses in the spring semester?,Academic Calendar | EXAM DATE FOR EXEMPTION FROM UNIVERSITY'S GENERAL ENGLISH COURSES | Spring Semester,Exam Date For Exemption From University'S General English Courses for the Spring Semester is scheduled for 2 February 2026 Monday.,exam date for exemption from university's general english courses spring semester academic calendar date deadline schedule 2 February 2026 Monday,calendar,EXAM DATE FOR EXEMPTION FROM UNIVERSITY'S GENERAL ENGLISH COURSES,Spring Semester
When is beykoz-prof exam for the students applying for lateral transfer/double major/minor programs in the spring semester in the spring semester?,Academic Calendar | BEYKOZ-PROF EXAM FOR THE STUDENTS APPLYING FOR LATERAL TRANSFER/DOUBLE MAJOR/MINOR PROGRAMS IN THE SPRING SEMESTER | Spring Semester,"Beykoz-Prof Exam For The Students Applying For Lateral Transfer/Double Major/Minor Programs In The Spring Semester for the Spring Semester is scheduled for 5 February 2026, Thursday.","beykoz-prof exam for the students applying for lateral transfer/double major/minor programs in the spring semester spring semester academic calendar date deadline schedule 5 February 2026, Thursday",calendar,BEYKOZ-PROF EXAM FOR THE STUDENTS APPLYING FOR LATERAL TRANSFER/DOUBLE MAJOR/MINOR PROGRAMS IN THE SPRING SEMESTER,Spring Semester
When is make-up classes for the ones that could not be conducted due to ramadan holiday on 19 march 2025 thursday in the spring semester?,Academic Calendar | MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY ON 19 MARCH 2025 THURSDAY | Spring Semester,"Make-Up Classes For The Ones That Could Not Be Conducted Due To Ramadan Holiday On 19 March 2025 Thursday for the Spring Semester is scheduled for 26 May 2026, Saturday. Additional details: MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY","make-up classes for the ones that could not be conducted due to ramadan holiday on 19 march 2025 thursday spring semester academic calendar date deadline schedule 26 May 2026, Saturday",calendar,MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY ON 19 MARCH 2025 THURSDAY,Spring Semester
When is make-up classes for the ones that could not be conducted due to ramadan holiday on 21 march 2026 saturday in the spring semester?,Academic Calendar | MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY ON 21 MARCH 2026 SATURDAY | Spring Semester,"Make-Up Classes For The Ones That Could Not Be Conducted Due To Ramadan Holiday On 21 March 2026 Saturday for the Spring Semester is scheduled for 17 May 2026, Sunday.","make-up classes for the ones that could not be conducted due to ramadan holiday on 21 march 2026 saturday spring semester academic calendar date deadline schedule 17 May 2026, Sunday",calendar,MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY ON 21 MARCH 2026 SATURDAY,Spring Semester
